Coin,Time Frame,Ljung-Box,Breusch-Godfrey,Lag
BTC,1m,Not Autocorrelated,Not Autocorrelated,77
BTC,1m,Not Autocorrelated,Not Autocorrelated,78
BTC,1m,Not Autocorrelated,Not Autocorrelated,79
BTC,1m,Not Autocorrelated,Not Autocorrelated,80
BTC,1m,Not Autocorrelated,Not Autocorrelated,81
BTC,1m,Not Autocorrelated,Not Autocorrelated,82
BTC,1m,Not Autocorrelated,Not Autocorrelated,83
BTC,1m,Not Autocorrelated,Not Autocorrelated,84
BTC,1m,Not Autocorrelated,Not Autocorrelated,85
BTC,1m,Not Autocorrelated,Not Autocorrelated,86
BTC,1m,Not Autocorrelated,Not Autocorrelated,87
BTC,1m,Not Autocorrelated,Not Autocorrelated,88
BTC,1m,Not Autocorrelated,Not Autocorrelated,89
BTC,1m,Not Autocorrelated,Not Autocorrelated,90
BTC,1m,Not Autocorrelated,Not Autocorrelated,91
BTC,1m,Not Autocorrelated,Not Autocorrelated,92
BTC,1m,Not Autocorrelated,Not Autocorrelated,93
BTC,1m,Not Autocorrelated,Not Autocorrelated,94
BTC,1m,Not Autocorrelated,Not Autocorrelated,95
BTC,1m,Not Autocorrelated,Not Autocorrelated,96
BTC,1m,Not Autocorrelated,Not Autocorrelated,97
BTC,1m,Not Autocorrelated,Not Autocorrelated,98
BTC,1m,Not Autocorrelated,Not Autocorrelated,99
BTC,1m,Not Autocorrelated,Not Autocorrelated,100
BTC,1m,Not Autocorrelated,Not Autocorrelated,1
BTC,1m,Not Autocorrelated,Not Autocorrelated,2
BTC,1m,Not Autocorrelated,Not Autocorrelated,3
BTC,1m,Not Autocorrelated,Not Autocorrelated,4
BTC,1m,Not Autocorrelated,Not Autocorrelated,5
BTC,1m,Not Autocorrelated,Not Autocorrelated,6
BTC,1m,Not Autocorrelated,Not Autocorrelated,7
BTC,1m,Not Autocorrelated,Not Autocorrelated,8
BTC,1m,Not Autocorrelated,Not Autocorrelated,9
BTC,1m,Not Autocorrelated,Not Autocorrelated,10
BTC,1m,Not Autocorrelated,Not Autocorrelated,11
BTC,1m,Not Autocorrelated,Not Autocorrelated,12
BTC,1m,Not Autocorrelated,Not Autocorrelated,13
BTC,1m,Not Autocorrelated,Not Autocorrelated,14
BTC,1m,Not Autocorrelated,Not Autocorrelated,15
BTC,1m,Not Autocorrelated,Not Autocorrelated,16
BTC,1m,Not Autocorrelated,Not Autocorrelated,17
BTC,1m,Not Autocorrelated,Not Autocorrelated,18
BTC,1m,Not Autocorrelated,Not Autocorrelated,19
BTC,1m,Not Autocorrelated,Not Autocorrelated,20
